[2026-01-26 12:43:33] \033[0;32mStarting continuous monitoring...\033[0m
[2026-01-27 15:33:04] \033[1;33mRestarting services...\033[0m
[2026-01-27 15:33:04] \033[1;33mStopping services...\033[0m
[2026-01-27 15:33:09] \033[0;32mStarting AI Compliance Platform...\033[0m
[2026-01-27 15:33:09] \033[1;33mStopping services...\033[0m
[2026-01-27 15:33:11] \033[0;34mStarting backend service...\033[0m
[2026-01-27 15:33:11] \033[0;32mBackend started with PID: 16792\033[0m
[2026-01-27 15:33:21] \033[0;34mStarting frontend service...\033[0m
[2026-01-27 15:33:21] \033[0;32mFrontend started with PID: 16823\033[0m
[2026-01-27 15:33:36] \033[0;32mServices started successfully!\033[0m
[2026-01-27 15:36:54] \033[1;33mRestarting services...\033[0m
[2026-01-27 15:36:54] \033[1;33mStopping services...\033[0m
[2026-01-27 15:36:58] \033[0;31mBackend not responding (attempt 1/3)\033[0m
[2026-01-27 15:37:00] \033[0;32mStarting AI Compliance Platform...\033[0m
[2026-01-27 15:37:00] \033[1;33mStopping services...\033[0m
[2026-01-27 15:37:02] \033[0;34mStarting backend service...\033[0m
[2026-01-27 15:37:02] \033[0;32mBackend started with PID: 17937\033[0m
[2026-01-27 15:37:03] \033[0;34mStarting backend service...\033[0m
[2026-01-27 15:37:03] \033[0;32mBackend started with PID: 17947\033[0m
[2026-01-27 15:37:12] \033[0;34mStarting frontend service...\033[0m
[2026-01-27 15:37:12] \033[0;32mFrontend started with PID: 17980\033[0m
[2026-01-27 15:37:27] \033[0;32mServices started successfully!\033[0m
[2026-01-27 15:37:43] \033[0;32mBackend is back online\033[0m
[2026-01-27 16:28:04] \033[1;33mRestarting services...\033[0m
[2026-01-27 16:28:04] \033[1;33mStopping services...\033[0m
[2026-01-27 16:28:09] \033[0;32mStarting AI Compliance Platform...\033[0m
[2026-01-27 16:28:09] \033[1;33mStopping services...\033[0m
[2026-01-27 16:28:11] \033[0;34mStarting backend service...\033[0m
[2026-01-27 16:28:11] \033[0;32mBackend started with PID: 26009\033[0m
[2026-01-27 16:28:21] \033[0;34mStarting frontend service...\033[0m
[2026-01-27 16:28:21] \033[0;32mFrontend started with PID: 26042\033[0m
[2026-01-27 16:28:36] \033[0;32mServices started successfully!\033[0m
[2026-01-28 08:07:10] \033[1;33mStopping services...\033[0m
[2026-01-28 08:07:10] \033[0;32mAll services stopped\033[0m
[2026-01-28 08:07:31] \033[0;31mFrontend not responding (attempt 1/3)\033[0m
[2026-01-28 08:07:36] \033[0;34mStarting frontend service...\033[0m
[2026-01-28 08:07:36] \033[0;32mFrontend started with PID: 41131\033[0m
[2026-01-28 08:08:07] \033[0;32mStarting AI Compliance Platform...\033[0m
[2026-01-28 08:08:07] \033[1;33mStopping services...\033[0m
[2026-01-28 08:08:07] Frontend stopped (PID: 41131)
[2026-01-28 08:08:09] \033[0;34mStarting backend service...\033[0m
[2026-01-28 08:08:09] \033[0;32mBackend started with PID: 41479\033[0m
[2026-01-28 08:08:19] \033[0;34mStarting frontend service...\033[0m
[2026-01-28 08:08:19] \033[0;32mFrontend started with PID: 41508\033[0m
[2026-01-28 08:08:21] \033[0;32mFrontend is back online\033[0m
[2026-01-28 08:08:34] \033[0;32mServices started successfully!\033[0m
[2026-01-28 08:22:17] \033[1;33mStopping services...\033[0m
[2026-01-28 08:22:17] Backend stopped (PID: 41479)
[2026-01-28 08:22:17] \033[0;32mAll services stopped\033[0m
[2026-01-28 08:22:22] \033[0;31mBackend not responding (attempt 1/3)\033[0m
[2026-01-28 08:22:27] \033[0;34mStarting backend service...\033[0m
[2026-01-28 08:22:27] \033[0;32mBackend started with PID: 44648\033[0m
[2026-01-28 08:22:28] \033[0;32mStarting AI Compliance Platform...\033[0m
[2026-01-28 08:22:28] \033[1;33mStopping services...\033[0m
[2026-01-28 08:22:28] Backend stopped (PID: 44648)
[2026-01-28 08:22:30] \033[0;34mStarting backend service...\033[0m
[2026-01-28 08:22:30] \033[0;32mBackend started with PID: 44718\033[0m
[2026-01-28 08:22:40] \033[0;34mStarting frontend service...\033[0m
[2026-01-28 08:22:40] \033[0;32mFrontend started with PID: 44753\033[0m
[2026-01-28 08:22:55] \033[0;32mServices started successfully!\033[0m
[2026-01-28 08:23:07] \033[0;32mBackend is back online\033[0m
[2026-02-08 13:08:14] \033[0;32mStarting AI Compliance Platform...\033[0m
[2026-02-08 13:08:14] \033[1;33mStopping services...\033[0m
[2026-02-08 13:08:16] \033[0;34mStarting backend service...\033[0m
[2026-02-08 13:08:16] \033[0;32mBackend started with PID: 36003\033[0m
[2026-02-08 13:08:26] \033[0;34mStarting frontend service...\033[0m
[2026-02-08 13:08:26] \033[0;32mFrontend started with PID: 36067\033[0m
[2026-02-08 13:08:41] \033[0;32mServices started successfully!\033[0m
[2026-02-18 16:40:48] \033[0;32mStarting AI Compliance Platform...\033[0m
[2026-02-18 16:40:48] \033[1;33mStopping services...\033[0m
[2026-02-18 16:40:48] Frontend stopped (PID: 36067)
[2026-02-18 16:40:50] \033[0;34mStarting backend service...\033[0m
[2026-02-18 16:40:50] \033[0;32mBackend started with PID: 96683\033[0m
[2026-02-18 16:41:00] \033[0;34mStarting frontend service...\033[0m
[2026-02-18 16:41:00] \033[0;32mFrontend started with PID: 96726\033[0m
[2026-02-18 16:41:15] \033[0;32mServices started successfully!\033[0m
